first_name,last_name,email,balance,password
John,Smith,john.smith@example.com,0,12345
Emily,Johnson,emily.johnson@example.com,10,12345
Michael,Williams,michael.williams@example.com,20,12345
Sarah,Brown,sarah.brown@example.com,30,12345
Christopher,Jones,christopher.jones@example.com,40,12345
Jessica,Miller,jessica.miller@example.com,50,12345
Matthew,Davis,matthew.davis@example.com,60,12345
Ashley,Garcia,ashley.garcia@example.com,70,12345
William,Rodriguez,william.rodriguez@example.com,80,12345
Amanda,Martinez,amanda.martinez@example.com,90,12345
